일련번호,구분,시/도,군/구,여름 실내 라돈 농도 (Bq/m3),가을 실내 라돈 농도 (Bq/m3),겨울 실내 라돈 농도 (Bq/m3),봄 실내 라돈 농도 (Bq/m3)
1,관공서,강원도,강릉시,45.2,65.2,66.7,68.2
2,관공서,강원도,강릉시,27.5,40.5,,
3,관공서,강원도,강릉시,24.6,50.4,52.2,32.8
4,관공서,강원도,강릉시,35.7,60,48.5,38.8
5,관공서,강원도,강릉시,43.9,,195.8,101.9
6,관공서,강원도,고성군,22.3,41.3,41.2,43.2
7,관공서,강원도,고성군,17.8,17,26.9,27.7
8,관공서,강원도,동해시,28.9,43.9,42.6,38.7
9,관공서,강원도,동해시,62.8,58.7,85.1,58.3
10,관공서,강원도,삼척시,22.5,37.9,37.6,40
11,관공서,강원도,삼척시,47.3,55.8,67.1,56.6
12,관공서,강원도,삼척시,36.3,,51.6,41.6
13,관공서,강원도,삼척시,37.4,60.2,54.2,40.1
14,관공서,강원도,삼척시,35.7,58.5,53.8,40.2
15,관공서,강원도,속초시,23.8,27.2,32.4,43
16,관공서,강원도,양구군,28.3,71.6,94.8,27
17,관공서,강원도,양구군,19.9,45.9,30,21.2
18,관공서,강원도,양양군,21.2,22.7,47.8,29
19,관공서,강원도,영월군,31.1,58.7,36.7,47.7
20,관공서,강원도,영월군,29,52.1,58.2,36.6
21,관공서,강원도,원주시,57.3,69.8,79.8,76.1
22,관공서,강원도,원주시,38.3,51.9,83.1,39.5
23,관공서,강원도,원주시,48.2,60.7,57.7,55.9
24,관공서,강원도,원주시,76.2,91,79.3,81.2
25,관공서,강원도,인제군,58.4,85,70.1,50.1
26,관공서,강원도,정선군,29.7,32.4,46.8,40.5
27,관공서,강원도,정선군,27.3,33,38.4,30.7
28,관공서,강원도,정선군,33.5,83.1,94.9,65.2
29,관공서,강원도,정선군,45.1,77.8,53.7,56.4
30,관공서,강원도,철원군,0.3,43.8,51.5,42.6
31,관공서,강원도,철원군,38.6,25.4,53.8,38.2
32,관공서,강원도,춘천시,80.5,92.4,86.6,83.7
33,관공서,강원도,춘천시,62,56.1,65.9,70.9
34,관공서,강원도,평창군,30.7,57.5,39.8,48.3
35,관공서,강원도,평창군,49.2,89.3,79.3,65.9
36,관공서,강원도,평창군,70.5,116.1,204.8,143.6
37,관공서,강원도,평창군,32.4,52.9,78.4,45.7
38,관공서,강원도,홍천군,23.6,93.2,96.5,29
39,관공서,강원도,홍천군,29.8,75.5,46.8,55.1
40,관공서,강원도,홍천군,71.4,,110.2,53.2
41,관공서,강원도,홍천군,41,79.4,76.3,71.5
42,관공서,강원도,홍천군,32.2,41.6,33.8,37.5
43,관공서,강원도,화천군,28.3,71.5,101.1,39.8
44,관공서,강원도,화천군,33,68,63.5,50.7
