순서,시도,시군구,주택유형,겨울철_실내라돈농도
1,강원도,강릉시,연립다세대,21.8
2,강원도,강릉시,단독주택 ,83.1
3,강원도,강릉시,단독주택 ,42
4,강원도,강릉시,단독주택 ,40.1
5,강원도,강릉시,단독주택 ,58.3
6,강원도,강릉시,단독주택 ,81.1
7,강원도,강릉시,단독주택 ,83.7
8,강원도,강릉시,단독주택 ,52
9,강원도,강릉시,단독주택 ,133.2
10,강원도,강릉시,단독주택 ,43.8
11,강원도,강릉시,연립다세대,54.4
12,강원도,강릉시,단독주택 ,116.9
13,강원도,강릉시,단독주택 ,26.5
14,강원도,강릉시,단독주택 ,182.6
15,강원도,강릉시,연립다세대,24.3
16,강원도,강릉시,단독주택 ,54.2
17,강원도,강릉시,연립다세대,157.9
18,강원도,강릉시,단독주택,39.5
19,강원도,강릉시,단독주택 ,76.5
20,강원도,강릉시,단독주택 ,28.9
21,강원도,강릉시,단독주택 ,19.5
22,강원도,강릉시,단독주택 ,183.7
23,강원도,강릉시,단독주택 ,20
24,강원도,강릉시,단독주택 ,72.9
25,강원도,강릉시,단독주택 ,30.7
26,강원도,강릉시,단독주택 ,40.7
27,강원도,강릉시,단독주택 ,42.5
28,강원도,강릉시,단독주택 ,42.3
29,강원도,강릉시,단독주택 ,35.1
30,강원도,강릉시,단독주택 ,39.3
31,강원도,강릉시,단독주택 ,22.6
32,강원도,강릉시,단독주택 ,19.8
33,강원도,강릉시,단독주택 ,27.4
34,강원도,강릉시,단독주택 ,24.6
35,강원도,강릉시,단독주택 ,87.8
36,강원도,강릉시,단독주택 ,40.3
37,강원도,강릉시,단독주택 ,37.9
38,강원도,강릉시,단독주택 ,41.9
39,강원도,강릉시,단독주택 ,40.3
40,강원도,강릉시,단독주택 ,28.5
41,강원도,강릉시,단독주택 ,41.2
42,강원도,강릉시,단독주택 ,30.9
43,강원도,강릉시,단독주택 ,40.4
44,강원도,강릉시,단독주택 ,22.3
45,강원도,강릉시,단독주택 ,38.2
46,강원도,강릉시,단독주택 ,72.1
47,강원도,강릉시,단독주택 ,28.5
48,강원도,강릉시,단독주택 ,22.5
49,강원도,강릉시,단독주택 ,31.1
50,강원도,강릉시,단독주택 ,50.2
