일련번호,구분,시/도,시/군/구,여름 실내 라돈 농도 (Bq/m3),가을 실내 라돈 농도 (Bq/m3),겨울 실내 라돈 농도 (Bq/m3),봄 실내 라돈 농도 (Bq/m3)
1,공항여객터미널,부산광역시,강서구,22.4,20.4,27.2,24.1
2,공항여객터미널,서울특별시,강서구,25.5,33.2,37.1,23
3,노인전문요양시설,경기도,광명시,26.9,21.2,33.2,31.4
4,노인전문요양시설,경기도,동두천,23.4,44.1,46.7,41.2
5,노인전문요양시설,경기도,수원시,16.6,25.3,48.7,19.6
6,노인전문요양시설,경기도,안산시,18.5,23.4,37.6,21.3
7,노인전문요양시설,경기도,안양시,32.7,24,41.2,24.8
8,노인전문요양시설,경상남도,양산시,16.7,21.9,,32.5
9,노인전문요양시설,경상북도,포항시,8.5,22.4,20.5,14.1
10,노인전문요양시설,경상북도,포항시,10,16.7,20.2,23.8
11,노인전문요양시설,서울특별시,송파구,16.3,8.9,22.5,31.5
12,노인전문요양시설,충청북도,괴산군,30.3,68.6,74.4,53.7
13,노인전문요양시설,충청북도,청주시,14.2,23.7,36.7,28.6
14,노인전문요양시설,충청북도,청주시,16.5,16.5,27.4,29.7
15,대규모 점포,강원도,원주시,27.3,24.4,32.6,27
16,대규모 점포,경기도,고양시,15.8,23.7,21,28.8
17,대규모 점포,경기도,고양시,10.7,16.8,,20.1
18,대규모 점포,경기도,구리시,18,26.4,31.2,21.9
19,대규모 점포,경기도,부천시,19,20,28.9,24.8
20,대규모 점포,경기도,성남시,22.2,,,20.5
21,대규모 점포,경기도,안양시,30.5,44.8,,30.5
22,대규모 점포,경상남도,창원시,9.7,15.6,121.3,20.3
23,대규모 점포,경상북도,구미시,14.3,21,26.3,24
24,대규모 점포,경상북도,김천시,18.5,19.3,31.2,14.2
25,대규모 점포,경상북도,포항시,20.2,18.3,,23.6
26,대규모 점포,경상북도,포항시,17.3,24,30.6,21
27,대규모 점포,광주광역시,북구,17.4,32.8,24.6,18.2
28,대규모 점포,광주광역시,서구,14.3,14.8,23.9,38.7
29,대규모 점포,대구광역시,동구,25.4,23.5,30.7,17.9
30,대규모 점포,대구광역시,동구,20.5,33.1,36,31.5
31,대규모 점포,대구광역시,중구,8.6,12.9,19.6,20.2
32,대규모 점포,대전광역시,서구,15.8,19.3,19.5,34.5
